bin,bin_low,bin_high,count,mean_pred,mean_true,diff
1,0.0,0.1,21,0.07954875870374194,0.0,0.07954875870374194
2,0.1,0.2,138,0.15788587657705322,0.14492753623188406,0.012958340345169156
3,0.2,0.30000000000000004,262,0.2496778685547199,0.22900763358778625,0.020670234966933654
4,0.30000000000000004,0.4,340,0.35412461585565297,0.40588235294117647,-0.0517577370855235
5,0.4,0.5,320,0.4501517211911182,0.46875,-0.01859827880888182
6,0.5,0.6000000000000001,330,0.5508487132541906,0.6,-0.049151286745809375
7,0.6000000000000001,0.7000000000000001,280,0.6469468267954428,0.6107142857142858,0.03623254108115703
8,0.7000000000000001,0.8,213,0.7426396863925889,0.7136150234741784,0.02902466291841055
9,0.8,0.9,107,0.8336388420454104,0.8691588785046729,-0.035520036459262494
10,0.9,1.0,11,0.9212047584836669,0.8181818181818182,0.10302294030184866
