decile,bin_low,bin_high,count,mean_pred,mean_true,calibration_diff
1,0.0,0.1,61,0.10638049762079586,0.06557377049180328,-0.04080672712899258
2,0.1,0.2,181,0.1916852619444202,0.17679558011049723,-0.014889681833922974
3,0.19999999999999998,0.3,233,0.27590523596440203,0.2832618025751073,0.007356566610705273
4,0.30000000000000004,0.4,322,0.36694020422096696,0.4161490683229814,0.049208864102014416
5,0.4,0.5,286,0.4554786764229427,0.46503496503496505,0.009556288612022346
6,0.5,0.6,308,0.5466680851701146,0.6103896103896104,0.06372152521949581
7,0.6,0.7,240,0.6311683703809868,0.6,-0.031168370380986854
8,0.7000000000000001,0.8,226,0.7199263320440396,0.6592920353982301,-0.06063429664580944
9,0.8,0.9,134,0.8080383646124685,0.8656716417910447,0.05763327717857625
10,0.9,1.0,31,0.8920407094179178,0.8387096774193549,-0.05333103199856293
